Position (mm), Angle (deg), Efficiency
32, 10, 0.93342
32, 20, 0.93591
32, 30, 0.93986
32, 40, 0.94308
32, 50, 0.94420
32, 60, 0.93847
32, 70, 0.90903
32, 80, 0.80500
33, 0, 0.92973
33, 10, 0.93400
33, 20, 0.93690
33, 30, 0.94053
33, 40, 0.94317
33, 50, 0.94490
33, 60, 0.93977
33, 70, 0.91157
33, 80, 0.80846
34, 0, 0.92797
34, 10, 0.93101
34, 20, 0.93424
34, 30, 0.93874
34, 40, 0.94260
34, 50, 0.94471
34, 60, 0.93880
34, 70, 0.91213
34, 80, 0.81014
35, 0, 0.92589
35, 10, 0.92992
35, 20, 0.93267
35, 30, 0.93585
35, 40, 0.93977
35, 50, 0.94176
35, 60, 0.93712
35, 70, 0.91124
35, 80, 0.81410
36, 0, 0.92437
36, 10, 0.92892
36, 20, 0.93250
36, 30, 0.93672
36, 40, 0.93992
36, 50, 0.94238
36, 60, 0.93839
36, 70, 0.91274
36, 80, 0.81776
37, 0, 0.92327
37, 10, 0.92846
37, 20, 0.93227
37, 30, 0.93683
37, 40, 0.94093
37, 50, 0.94351
37, 60, 0.93923
37, 70, 0.91367
37, 80, 0.81940
38, 0, 0.91882
38, 10, 0.92765
38, 20, 0.93257
38, 30, 0.93618
38, 40, 0.94056
38, 50, 0.94354
38, 60, 0.93935
38, 70, 0.91439
38, 80, 0.82261
39, 0, 0.00000
39, 10, 0.92561
39, 20, 0.92980
39, 30, 0.93441
39, 40, 0.93801
39, 50, 0.94004
39, 60, 0.93818
39, 70, 0.91362
39, 80, 0.82255
40, 0, 0.00010
40, 10, 0.92352
40, 20, 0.92815
40, 30, 0.93219
40, 40, 0.93729
40, 50, 0.93976
40, 60, 0.93655
40, 70, 0.91589
40, 80, 0.82590
41, 0, 0.00060
41, 10, 0.91964
41, 20, 0.92783
41, 30, 0.93301
41, 40, 0.93697
41, 50, 0.94017
41, 60, 0.93629
41, 70, 0.91422
41, 80, 0.82444
42, 0, 0.00007
42, 10, 0.91704
42, 20, 0.92653
42, 30, 0.93169
42, 40, 0.93645
42, 50, 0.94033
42, 60, 0.93779
42, 70, 0.91564
42, 80, 0.82829
43, 0, 0.89960
43, 10, 0.00003
43, 20, 0.92554
43, 30, 0.93021
43, 40, 0.93549
43, 50, 0.93849
43, 60, 0.93644
43, 70, 0.91658
43, 80, 0.83118
44, 0, 0.89972
44, 10, 0.00001
44, 20, 0.92230
44, 30, 0.92945
44, 40, 0.93440
44, 50, 0.93856
44, 60, 0.93576
44, 70, 0.91579
44, 80, 0.83172
45, 0, 0.90137
45, 10, 0.00014
45, 20, 0.92026
45, 30, 0.93064
45, 40, 0.93518
45, 50, 0.93892
45, 60, 0.93633
45, 70, 0.91593
45, 80, 0.83349
46, 0, 0.90005
46, 10, 0.00129
46, 20, 0.91696
46, 30, 0.92660
46, 40, 0.93324
46, 50, 0.93694
46, 60, 0.93510
46, 70, 0.91838
46, 80, 0.83589
