Position (mm), Angle (deg), Efficiency
50, -60, 0.00001
50, -70, 0.00000
51, -10, 0.00000
51, -20, 0.00000
51, -30, 0.00000
51, -40, 0.00020
51, -50, 0.00004
51, -60, 0.00001
51, -70, 0.00000
52, -10, 0.00000
52, -20, 0.00000
52, -30, 0.00000
52, -40, 0.00029
52, -50, 0.00004
52, -60, 0.00001
52, -70, 0.00000
53, -10, 0.00000
53, -20, 0.00000
53, -30, 0.00000
53, -40, 0.00028
53, -50, 0.00009
53, -60, 0.00001
53, -70, 0.00000
54, -10, 0.00000
54, -20, 0.00000
54, -30, 0.00000
54, -40, 0.00026
54, -50, 0.00004
54, -60, 0.00003
54, -70, 0.00000
55, -10, 0.00000
55, -20, 0.00000
55, -30, 0.00000
55, -40, 0.00023
55, -50, 0.00000
55, -60, 0.00003
55, -70, 0.00000
56, -10, 0.00000
56, -20, 0.00000
56, -30, 0.00000
56, -40, 0.00021
56, -50, 0.00004
56, -60, 0.00005
56, -70, 0.00000
57, -10, 0.00000
57, -20, 0.00000
57, -30, 0.00000
57, -40, 0.00019
57, -50, 0.00000
57, -60, 0.00005
57, -70, 0.00000
58, -10, 0.00000
58, -20, 0.00000
58, -30, 0.00000
58, -40, 0.00018
58, -50, 0.00000
58, -60, 0.00010
58, -70, 0.00000
59, -10, 0.00000
59, -20, 0.00000
59, -30, 0.00000
59, -40, 0.00026
59, -50, 0.00000
59, -60, 0.00007
59, -70, 0.00000
60, -10, 0.00000
60, -20, 0.00000
60, -30, 0.00000
60, -40, 0.00021
60, -50, 0.00000
60, -60, 0.00006
60, -70, 0.00000
