0.000000000000000000e+00,9.443000000000000282e-01
1.000000000000000021e-03,9.456200000000000161e-01
2.000000000000000042e-03,9.453099999999999836e-01
3.000000000000000062e-03,9.462300000000000155e-01
4.000000000000000083e-03,9.436499999999999888e-01
5.000000000000000104e-03,9.431300000000000239e-01
6.000000000000000125e-03,9.447499999999999787e-01
7.000000000000000146e-03,9.443200000000000482e-01
8.000000000000000167e-03,9.447799999999999532e-01
8.999999999999999320e-03,9.443000000000000282e-01
1.000000000000000021e-02,9.445400000000000462e-01
1.099999999999999936e-02,9.430899999999999839e-01
1.200000000000000025e-02,9.439400000000000013e-01
1.299999999999999940e-02,9.440600000000000103e-01
1.400000000000000029e-02,9.417799999999999505e-01
1.499999999999999944e-02,9.421899999999999720e-01
1.600000000000000033e-02,9.417400000000000215e-01
1.700000000000000122e-02,9.419600000000000195e-01
1.799999999999999864e-02,9.407299999999999551e-01
1.899999999999999953e-02,9.409300000000000441e-01
2.000000000000000042e-02,9.402500000000000302e-01
2.100000000000000130e-02,9.401800000000000157e-01
2.199999999999999872e-02,9.395299999999999763e-01
2.299999999999999961e-02,9.397799999999999487e-01
2.400000000000000050e-02,9.387999999999999678e-01
2.500000000000000139e-02,9.388699999999999823e-01
2.599999999999999881e-02,9.369600000000000151e-01
2.699999999999999969e-02,9.356299999999999617e-01
2.800000000000000058e-02,9.348600000000000243e-01
2.900000000000000147e-02,9.341399999999999704e-01
2.999999999999999889e-02,9.335700000000000109e-01
3.099999999999999978e-02,9.312399999999999567e-01
3.200000000000000067e-02,9.307600000000000318e-01
3.300000000000000155e-02,9.297299999999999454e-01
3.400000000000000244e-02,9.279699999999999616e-01
3.500000000000000333e-02,9.258899999999999908e-01
3.599999999999999728e-02,9.243700000000000250e-01
3.699999999999999817e-02,9.232700000000000351e-01
3.799999999999999906e-02,9.188199999999999701e-01
3.899999999999999994e-02,0.000000000000000000e+00
4.000000000000000083e-02,1.000000000000000048e-04
4.100000000000000172e-02,5.999999999999999474e-04
4.200000000000000261e-02,6.999999999999999387e-05
4.299999999999999656e-02,8.995999999999999552e-01
4.399999999999999745e-02,8.997199999999999642e-01
4.499999999999999833e-02,9.013700000000000045e-01
4.599999999999999922e-02,9.000500000000000167e-01
4.700000000000000011e-02,9.000099999999999767e-01
4.800000000000000100e-02,8.999399999999999622e-01
4.900000000000000189e-02,8.986699999999999688e-01
5.000000000000000278e-02,8.975300000000000500e-01
5.099999999999999672e-02,9.004499999999999726e-01
5.199999999999999761e-02,8.973400000000000265e-01
5.299999999999999850e-02,0.000000000000000000e+00
5.399999999999999939e-02,0.000000000000000000e+00
5.500000000000000028e-02,0.000000000000000000e+00
