-0.0314159 0
0.0314159 0.00110153
0.0942478 0.00990049
0.15708 0.0285381
0.219911 0.00829375
0.282743 0.0243214
0.345575 0.0472358
0.408407 0.0566128
0.471239 0.0915522
0.534071 0.0987299
0.596903 0.109831
0.659734 0.147549
0.722566 0.0609753
0.785398 0.0487475
0.84823 0.0437072
0.911062 0.0359771
0.973894 0.0239123
1.03673 0.020768
1.09956 0.01893
1.16239 0.0189974
1.22522 0.0135293
1.28805 0.0117392
1.35088 0.00805455
1.41372 0.00882564
1.47655 0.00738166
1.53938 0.0053365
1.60221 0.00564577
1.66504 0.0047039
1.72788 0.00458815
1.79071 0.00418446
1.85354 0.00393547
1.91637 0.00348076
1.9792 0.00447224
2.04204 0.00228495
2.10487 0.0021988
2.1677 0.00152802
2.23053 0.00145831
2.29336 0.00135078
2.35619 0.00192238
2.41903 0.00141936
2.48186 0.00148533
2.54469 0.0011032
2.60752 0.0012501
2.67035 0.000674094
2.73319 0.00032784
2.79602 0.000410609
2.85885 0.000276051
2.92168 0.000372462
2.98451 0.000173225
3.04734 0.000155886
3.11018 4.94021e-05
