-0.0314159 0
0.0314159 0.00421434
0.0942478 0.0417593
0.15708 0.0393927
0.219911 0.0528039
0.282743 0.0878669
0.345575 0.0709342
0.408407 0.131123
0.471239 0.0728923
0.534071 0.10587
0.596903 0.0825336
0.659734 0.0568689
0.722566 0.047878
0.785398 0.0309218
0.84823 0.0323491
0.911062 0.0207132
0.973894 0.0150743
1.03673 0.012226
1.09956 0.0131413
1.16239 0.00906308
1.22522 0.0103035
1.28805 0.00762187
1.35088 0.00682348
1.41372 0.0104904
1.47655 0.00509742
1.53938 0.00318651
1.60221 0.0035103
1.66504 0.00273493
1.72788 0.00358107
1.79071 0.00228511
1.85354 0.00219676
1.91637 0.00238652
1.9792 0.00161437
2.04204 0.0015824
2.10487 0.000886584
2.1677 0.00138094
2.23053 0.00151332
2.29336 0.000749274
2.35619 0.000625296
2.41903 0.000853855
2.48186 0.000611887
2.54469 0.000479962
2.60752 0.000418102
2.67035 0.000318608
2.73319 0.000342949
2.79602 0.000219259
2.85885 0.000264859
2.92168 0.000167774
2.98451 8.36569e-05
3.04734 2.76041e-05
3.11018 1.60384e-05
